XCoord,YCoord,A,P
-1.33187500,54.67387500,448.833132,87.914822
-1.33155357,54.67412500,3141.812751,263.743880
-1.33012500,54.67400000,897.663525,143.573482
-1.32975000,54.67387500,897.666263,120.170889
-1.76000000,54.67362500,897.671739,120.171283
-1.75954167,54.67370833,1346.504871,175.829940
-1.75912500,54.67362500,448.835870,87.915018
-1.33512500,54.67362500,448.835870,87.915018
-1.33487500,54.67375000,897.669001,143.573675
-1.33462500,54.67375000,897.669001,143.573675
-1.33425000,54.67375000,1795.338003,175.829841
-1.33387500,54.67362500,448.835869,87.915018
-1.33275000,54.67362500,3590.686957,313.708869
-1.33150000,54.67362500,897.671739,120.171283
-1.33100000,54.67387500,2692.998789,231.488401
-1.33050000,54.67375000,1795.338003,175.829841
-1.33012500,54.67362500,448.835870,87.915018
-1.32987500,54.67362500,448.835870,87.915018
-1.32962500,54.67362500,448.835870,87.915018
-1.76319368,54.67337500,521.599555,107.798972
-1.76275000,54.67337500,897.677217,120.171677
-1.76239323,54.67337500,287.537233,77.654337
-1.75950000,54.67337500,897.677217,120.171677
-1.75912500,54.67337500,448.838608,87.915214
-1.33537500,54.67337500,448.838609,87.915214
-1.33512500,54.67337500,448.838608,87.915214
-1.33450000,54.67337500,1795.354434,184.684602
-1.33387500,54.67337500,448.838608,87.915214
-1.33362500,54.67337500,448.838608,87.915214
-1.33337500,54.67337500,448.838608,87.915214
-1.33312500,54.67337500,448.838608,87.915214
-1.33287500,54.67337500,448.838609,87.915214
-1.33225000,54.67337500,1795.354434,184.684602
-1.33112500,54.67337500,448.838608,87.915214
-1.33062500,54.67337500,448.838609,87.915214
-1.33037500,54.67337500,448.838608,87.915214
-1.33012500,54.67337500,448.838608,87.915214
-1.33575000,54.67312500,897.682693,120.172071
-1.33537500,54.67312500,448.841347,87.915410
-1.33512500,54.67312500,448.841347,87.915410
-1.33475000,54.67312500,897.682693,120.172071
-1.33425000,54.67312500,897.682693,120.172071
-1.33362500,54.67312500,1346.524040,152.428731
-1.33300000,54.67312500,897.682693,120.172071
-1.33237500,54.67312500,1346.524040,152.428731
-1.33187500,54.67312500,448.841347,87.915410
-1.33162500,54.67312500,448.841346,87.915410
-1.33145833,54.67329167,1346.518563,175.830525
-1.33095833,54.67320833,1346.521302,175.830723
-1.33062500,54.67312500,448.841347,87.915410
-1.33625000,54.67287500,897.688170,120.172465
-1.33575000,54.67287500,897.688170,120.172465
-1.33525000,54.67287500,897.688170,120.172465
-1.33475000,54.67287500,897.688170,120.172465
-1.33425000,54.67287500,897.688170,120.172465
-1.33387500,54.67287500,448.844085,87.915606
-1.33362500,54.67287500,448.844085,87.915606
-1.33337500,54.67287500,448.844085,87.915606
-1.33312500,54.67287500,448.844085,87.915606
-1.33287500,54.67287500,448.844085,87.915606
-1.33262500,54.67287500,448.844085,87.915606
-1.33212500,54.67287500,1346.532256,152.429323
-1.33162500,54.67287500,448.844085,87.915606
-1.33137500,54.67287500,448.844085,87.915606
-1.33112500,54.67287500,448.844085,87.915606
-1.33087500,54.67287500,448.844085,87.915606
-1.33062500,54.67287500,448.844085,87.915606
-1.33637500,54.67250000,897.696385,143.574643
-1.33612500,54.67250000,897.696385,143.574643
-1.33575000,54.67250000,1795.392771,175.831799
-1.33537500,54.67250000,897.696386,143.574643
-1.33512500,54.67250000,897.696385,143.574643
-1.33475000,54.67250000,1795.392771,175.831799
-1.33387500,54.67250000,897.696385,143.574643
-1.33362500,54.67250000,897.696385,143.574643
-1.33337500,54.67250000,897.696385,143.574643
-1.33687500,54.67212500,448.852300,87.916193
-1.33662500,54.67212500,448.852300,87.916193
-1.33625000,54.67212500,897.704600,120.173646
-1.33525000,54.67212500,2693.113800,249.203460
-1.33425000,54.67237500,2693.097371,231.490737
-1.33387500,54.67212500,448.852300,87.916193
-1.49112500,54.67187500,1346.565117,152.431692
-1.33687500,54.67187500,448.855039,87.916389
-1.33662500,54.67187500,448.855039,87.916389
-1.33637500,54.67187500,448.855039,87.916389
-1.33612500,54.67187500,448.855039,87.916389
-1.33575000,54.67187500,897.710078,120.174040
-1.33525000,54.67187500,897.710078,120.174040
-1.33475000,54.67187500,897.710078,120.174040
-1.33437500,54.67187500,448.855039,87.916389
